"","ID","Date","Home","Away","Winner","Draw-1","Draw-2"
"1",947742,1992-08-15,"Chelsea","Oldham",NA,"Chelsea","Oldham"
"2",947760,1992-08-15,"Coventry","Middlesbrough","Coventry",NA,NA
"3",947772,1992-08-15,"Crystal Palace","Blackburn",NA,"Crystal Palace","Blackburn"
"4",948033,1992-08-15,"Sheffield United","Manchester United","Sheffield United",NA,NA
"5",947808,1992-08-15,"Everton","Sheffield Weds",NA,"Everton","Sheffield Weds"
"6",947813,1992-08-15,"Ipswich","Aston Villa",NA,"Ipswich","Aston Villa"
"7",948083,1992-08-15,"Southampton","Tottenham",NA,"Southampton","Tottenham"
"8",947853,1992-08-15,"Leeds","Wimbledon FC","Leeds",NA,NA
"9",947677,1992-08-15,"Arsenal","Norwich","Norwich",NA,NA
"10",947968,1992-08-16,"Nottingham Forest","Liverpool","Nottingham Forest",NA,NA
"11",947890,1992-08-17,"Manchester City","QPR",NA,"Manchester City","QPR"
"12",948113,1992-08-18,"Wimbledon FC","Ipswich","Ipswich",NA,NA
"13",947707,1992-08-18,"Blackburn","Arsenal","Blackburn",NA,NA
"14",947985,1992-08-19,"Oldham","Crystal Palace",NA,"Oldham","Crystal Palace"
"15",948019,1992-08-19,"QPR","Southampton","QPR",NA,NA
"16",948057,1992-08-19,"Sheffield Weds","Nottingham Forest","Sheffield Weds",NA,NA
"17",948089,1992-08-19,"Tottenham","Coventry","Coventry",NA,NA
"18",947870,1992-08-19,"Liverpool","Sheffield United","Liverpool",NA,NA
"19",947902,1992-08-19,"Manchester United","Everton","Everton",NA,NA
"20",947927,1992-08-19,"Middlesbrough","Manchester City","Middlesbrough",NA,NA
"21",947941,1992-08-19,"Norwich","Chelsea","Norwich",NA,NA
"22",947693,1992-08-19,"Aston Villa","Leeds",NA,"Aston Villa","Leeds"
"23",947716,1992-08-22,"Blackburn","Manchester City","Blackburn",NA,NA
"24",947994,1992-08-22,"Oldham","Nottingham Forest","Oldham",NA,NA
"25",948017,1992-08-22,"QPR","Sheffield United","QPR",NA,NA
"26",948046,1992-08-22,"Sheffield Weds","Chelsea",NA,"Sheffield Weds","Chelsea"
"27",948090,1992-08-22,"Tottenham","Crystal Palace",NA,"Tottenham","Crystal Palace"
"28",948110,1992-08-22,"Wimbledon FC","Coventry","Coventry",NA,NA
"29",947903,1992-08-22,"Manchester United","Ipswich",NA,"Manchester United","Ipswich"
"30",947925,1992-08-22,"Middlesbrough","Leeds","Middlesbrough",NA,NA
"31",947944,1992-08-22,"Norwich","Everton",NA,"Norwich","Everton"
"32",947704,1992-08-22,"Aston Villa","Southampton",NA,"Aston Villa","Southampton"
"33",947854,1992-08-23,"Liverpool","Arsenal","Arsenal",NA,NA
"34",948075,1992-08-24,"Southampton","Manchester United","Manchester United",NA,NA
"35",948042,1992-08-25,"Sheffield United","Wimbledon FC",NA,"Sheffield United","Wimbledon FC"
"36",947787,1992-08-25,"Crystal Palace","Sheffield Weds",NA,"Crystal Palace","Sheffield Weds"
"37",947792,1992-08-25,"Everton","Aston Villa","Everton",NA,NA
"38",947820,1992-08-25,"Ipswich","Liverpool",NA,"Ipswich","Liverpool"
"39",947852,1992-08-25,"Leeds","Tottenham","Leeds",NA,NA
"40",947730,1992-08-26,"Chelsea","Blackburn",NA,"Chelsea","Blackburn"
"41",947764,1992-08-26,"Coventry","QPR","QPR",NA,NA
"42",947887,1992-08-26,"Manchester City","Norwich","Manchester City",NA,NA
"43",947679,1992-08-26,"Arsenal","Oldham","Arsenal",NA,NA
"44",947970,1992-08-29,"Nottingham Forest","Manchester United","Manchester United",NA,NA
"45",947743,1992-08-29,"Chelsea","QPR","Chelsea",NA,NA
"46",947751,1992-08-29,"Coventry","Blackburn","Blackburn",NA,NA
"47",948023,1992-08-29,"Sheffield United","Aston Villa","Aston Villa",NA,NA
"48",947782,1992-08-29,"Crystal Palace","Norwich","Norwich",NA,NA
"49",947811,1992-08-29,"Everton","Wimbledon FC",NA,"Everton","Wimbledon FC"
"50",948076,1992-08-29,"Southampton","Middlesbrough","Southampton",NA,NA
"51",947841,1992-08-29,"Leeds","Liverpool",NA,"Leeds","Liverpool"
"52",947889,1992-08-29,"Manchester City","Oldham",NA,"Manchester City","Oldham"
"53",947682,1992-08-29,"Arsenal","Sheffield Weds","Arsenal",NA,NA
"54",947831,1992-08-30,"Ipswich","Tottenham",NA,"Ipswich","Tottenham"
"55",947951,1992-08-31,"Norwich","Nottingham Forest","Norwich",NA,NA
"56",947988,1992-09-01,"Oldham","Leeds",NA,"Oldham","Leeds"
